,0
Abattoir Blues,"Post-Punk band from Brighton,UK
https://soundcloud.com/abattoirbluesband <a href=""https://www.last.fm/music/Abattoir+Blues"">Read more on Last.fm</a>"
Absent Elk,"Absent Elk frontman Kjetil is from Norway, an emigration which gave the band their unusual name and influences much of the lyrical content. The rest of the band are from Brighton, and have played together in various formats for many years before finding the right man to complete the lineup. Within three weeks of meeting Kjetil, Absent Elk played their first live show to a few thousand festival-goers, having written an entire new set. They then signed to Sony BMG and quickly set about work on their debut album. <a href=""https://www.last.fm/music/Absent+Elk"">Read more on Last.fm</a>"
Aerial Love Feed,"This tight EP demonstrates first hand what an accomplished band Aerial Love Feed is, paying off all those days of practice and playing live around New York City. Produced by the hand of legendary noise producer Keith Cleversley, the band picks some of their best tunes, all of them with sparkling melodies, some sky-high psychedelia and just the right amount of guitar noise. The EP kicks off with 'Full Tilt', a great indie flavoured guitar song that reminded me a bit of Adorable. <a href=""https://www.last.fm/music/Aerial+Love+Feed"">Read more on Last.fm</a>"
Aidan Moffat + The Best Ofs,"<a href=""https://www.last.fm/music/+noredirect/Aidan+Moffat+%252B+The+Best+Ofs"">Read more on Last.fm</a>"
All Found Out,"In the past few years, the Dallas music scene has fallen prey to a teen culture with Dragon Ball Z's sense of style, a ""Leave Brittany Alone"" personality, and music from Disney A&R's reject pile. Introducing All Found Out, the potential salvation of Dallas' beleaguered contemporary rock music scene. With musical influences as chill as The Fray, Coldplay, Snow Patrol, and Jason Mraz, and as driving and upbeat as Switchfoot, Relient K, Jack's Mannequin <a href=""https://www.last.fm/music/All+Found+Out"">Read more on Last.fm</a>"
anonymass,"“anonymass” comprises the concept of and implies the word of ANONYMOUS(unspecified/mysterious) and MASS (magnitude of communicationtransfer/group). 
Each band member plays various instruments such as Euphonium, Keyboard,and Cello with which are mingled with computer driven electronic devices and (female) vocals. The approach to create unique sounds of anonymass is to free from just performing each instruments, rather harmonizing those essence and variety at the same time thereby weaving them in colorful tapestry of distinctive sound. <a href=""https://www.last.fm/music/anonymass"">Read more on Last.fm</a>"
Argle Bargle,"<a href=""https://www.last.fm/music/Argle+Bargle"">Read more on Last.fm</a>"
Austeros,"Breakneck-pop band from Cheltenham, UK

Jeremy - guitar, vocals
Steve - bass
Bo - drums, vocals

http://austeros.bandcamp.com/

www.facebook.com/weareausteros <a href=""https://www.last.fm/music/Austeros"">Read more on Last.fm</a>"
Berndt,"Pirate-Berndt:

This is a mistake made by Amazon which spelled the name wrong in their online-shop and forgot the ""The"" in front of Berndt. 
Torrents made on the same misspelled copy quickly spread online. 

Continue to download or purchase the music and redistribute it  in any way you want, we're just glad you spread the word. But do it right and rename your files to the real name, ""The Berndt"".

/ The Real The Berndt ;) <a href=""https://www.last.fm/music/+noredirect/Berndt"">Read more on Last.fm</a>"
Betty And The Werewolves,"A London, UK based female fronted indie-pop band, with Laura McMahon (voice & guitar), Helen Short (bass, voice & keyboards), Emily Bennet (guitar & voice) & Doug McFarlane (drums). Formed in 2007, they are three girls & one boy (from London & Cambridge). They take their inspiration from classic romantic literature & old “Look-In” annuals. Whooping & howling through the night as their sweetly sung melodies collide with glitter-struck punk guitars. <a href=""https://www.last.fm/music/Betty+and+The+Werewolves"">Read more on Last.fm</a>"
Between The Lines,"Between the Lines is the name of more than one artist:
1) pop punk
2) hardcore punk <a href=""https://www.last.fm/music/Between+The+Lines"">Read more on Last.fm</a>"
Between The Wars,"There are currently two bands using the name ""Between The Wars"".


1. BETWEEN THE WARS (Melbourne, AUS) - Active 2009-present. Celtic folk punk band. Released album ""Carried Away"" in 2010, EP ""The Rats"", single ""The Aces Are Coming/I Forget What I'm Doing Here"" in 2011, split EP ""New Ruins"" in 2012 and album ""Won't Go Quietly"" in 2013. 

2. BETWEEN THE WARS (New Jersey, USA) - Active: 2005-2007 (featured Ensign frontman Tim Shaw and  former Thursday guitarist Bill Henderson. Released 1 EP and 1 album.
 <a href=""https://www.last.fm/music/Between+the+Wars"">Read more on Last.fm</a>"
Bumpkin Island,"<a href=""https://www.last.fm/music/Bumpkin+Island"">Read more on Last.fm</a>"
Burning Bridges,"There are at least five Burning Bridges, a pop punk band from Keen, New Hampshire, an American band from southern California, an American band from Albany (New York), a hardcore band from London, and a hardcore/metal band from Sydney.

1) we are a socially conscious pop/punk band from keene, nh. we formed in august of 2011. we have been in bands like, young mountain, pangea, cringe, beast infection, WACK and more. we love to tour, and will drive anywhere for a show. we also love kitty cats. http://burningbridgesnh.bandcamp.com/ <a href=""https://www.last.fm/music/Burning+Bridges"">Read more on Last.fm</a>"
Caandides,"Exploring the borders of Folktronica and experimental neo-surf music, Caandides develops an aesthetic and energic collective sound. This gives birth to an intuitive and psychedelic music where DIY images spontaneously appear in mind. Caandides is also a four piece band seen through the eyes and hands of two young graphists.
This is rough, urgent and creative.
 <a href=""https://www.last.fm/music/Caandides"">Read more on Last.fm</a>"
Carw,"Carw (in Welsh: 'deer') is a solo project of Owain Griffith, vocalist of the Welsh band Violas. <a href=""https://www.last.fm/music/CARW"">Read more on Last.fm</a>"
Catnaps,"Catnaps (formerly When I Was 12) was an indie-pop band from Philadelphia. They were Adrianne Gold, Dan Houwen, Carolyn Haynes, and Christian Bach.  <a href=""https://www.last.fm/music/Catnaps"">Read more on Last.fm</a>"
Clue To Kalo,"Clue to Kalo is a folktronica band from Adelaide, Australia, featuring musician Mark Mitchell and a revolving cast of supporting musicians.

They have toured with Her Space Holiday and Architecture in Helsinki.

Mark relocated to Melbourne, Victoria, in 2010. His upcoming fourth album is the first to be recorded outside his bedroom.

More info can be found at cluetokalo.com

Mark previously recorded as Super Science. <a href=""https://www.last.fm/music/Clue+To+Kalo"">Read more on Last.fm</a>"
Danxia,"The Warrington based 4-piece Danxia – their name borrowed from the ethereal Chinese landform – are new to the North West music scene. Starting through the cross pollination of numerous bands that happened to be sharing a local practise room, a few jams, paired with shared music taste and vision, lead on to the formation of Danxia. Straight off the back of their demo tape, Danxia are raising their profile through various support slots and small shows around Manchester and Warrington. <a href=""https://www.last.fm/music/Danxia"">Read more on Last.fm</a>"
Dead Guitars,"Dead Guitars

Question: 
What have producers Dave Allen (The Cure), Mick Glossop (Van Morrison, Waterboys) and Gareth Jones (Depeche Mode) got in common?

Answer: 
Their devotion to pop music crafted in Germany and a band that marked its debut 20 years ago – TWELVE DRUMMERS DRUMMING (British release Phonogram UK).Each of them produced an album for 12DD, arguably the most innovative German band of the ’80s. 

In 2003 Pete Brough, one of the founder-members of German band TWELVE DRUMMERS DRUMMING <a href=""https://www.last.fm/music/Dead+Guitars"">Read more on Last.fm</a>"
Demonstrations,"Characterised by thick rumbling distortion, catchy melodies and fast, manic climaxes - Brighton
three-piece Demonstrations have a huge sound despite their small number. Their sound has been
likened to Smashing Pumpkins and Pixies – with their screaming vocals cutting through the
rhythmic chaos that peaks their songs.  
 <a href=""https://www.last.fm/music/Demonstrations"">Read more on Last.fm</a>"
Desert Hearts,"The Desert Hearts are a four piece from Belfast, N. Ireland.  <a href=""https://www.last.fm/music/Desert+Hearts"">Read more on Last.fm</a>"
Dope Gems,"<a href=""https://www.last.fm/music/Dope+Gems"">Read more on Last.fm</a>"
Enjoy Destroy,"Enjoy Destroy is British Alternative Rock band from Basingstoke/Guildford, UK, who've been releasing material since 2006. A 'local' band that is honest with their music and like to put on a good show. They met at the age of 14 and have written original material ever since...

When Enjoy Destroy released their début album “Little Dreams” in March of 2008, the reviews were unanimously glowing as the British rock press hailed the Hampshire quartet as successors to the likes of Foo Fighters and Biffy Clyro. <a href=""https://www.last.fm/music/Enjoy+Destroy"">Read more on Last.fm</a>"
Girlfriend.,"""A major drawing point of Girlfriend is the sheer abrasiveness of their music. It’s unapologetic, it’s angst-ridden and it channels the kind of feelings most young adults feel but so few manage to articulately orchestrate into a creative output."" - Ally Daly, GoldenPlec <a href=""https://www.last.fm/music/GIRLFRIEND."">Read more on Last.fm</a>"
Gospel Music,"Placeholder bio, till more information is available.

Black Kids Bassist Recruits Camera Obscura, Magnetic Fields, Vivian Girls Members for Duets

You may know Owen Holmes as the bassist for indie pop band Black Kids. But now he's branching out on his own. Well, not totally on his own. Under the name Gospel Music, Holmes is releasing a five-track EP called Duettes, featuring (uh) duets with Camera Obscura's Tracyanne Campbell, Vivian Girls' Cassie Ramone <a href=""https://www.last.fm/music/Gospel+Music"">Read more on Last.fm</a>"
Grimm Twins,"It's Grimm Up North❗️

Rejoice - The future is Grimm. 3 are Grimm 2 are Twins. A band from Macclesfield, England.

Hailing from Macclesfield (branded as the least-cultured place in Britain in the 2005 State Of The Nation Report) home of Joy Division, Mr. Scruff, the infamous 90's Johnny Marr produced Britpop band Marion and the rudest, crudest, lewdest, drunkest band of all time The Macc Lads.

Grimm Twins formed in 2018 with twins Harry (Vocals <a href=""https://www.last.fm/music/Grimm+Twins"">Read more on Last.fm</a>"
Gross Net,"<a href=""https://www.last.fm/music/Gross+Net"">Read more on Last.fm</a>"
Gyepy,"<a href=""https://www.last.fm/music/Gyepy"">Read more on Last.fm</a>"
Heart-Set Self-Destruct,"Since their formation during the spring of 2005, Heart-Set Self-Destruct has become a staple in the Chicago Hard Rock scene. Melodic lead vocals combined with elements of punk and metal influence the band’s heavy driven sound.

After playing several succesful gigs in Chicago at the Double Door, Subterranean, and the Beat Kitchen, the band headed into the studio at the end of 2006 to record their debut album ""Victims Like Me"" with Producer Dan Malsch (Framing Hanley, Tantric) at the Soundmine Recording Studio in East Stroudsburg, Pa. <a href=""https://www.last.fm/music/Heart-Set+Self-Destruct"">Read more on Last.fm</a>"
Hustle Roses,"<a href=""https://www.last.fm/music/Hustle+Roses"">Read more on Last.fm</a>"
Ircle,"<a href=""https://www.last.fm/music/ircle"">Read more on Last.fm</a>"
Jamie Cruickshank,"<a href=""https://www.last.fm/music/Jamie+Cruickshank"">Read more on Last.fm</a>"
Jude Woodhead,"<a href=""https://www.last.fm/music/Jude+Woodhead"">Read more on Last.fm</a>"
Kapil Seshasayee,"<a href=""https://www.last.fm/music/Kapil+Seshasayee"">Read more on Last.fm</a>"
Kerry Devine,"<a href=""https://www.last.fm/music/Kerry+Devine"">Read more on Last.fm</a>"
Kubichek!,"Kubichek! were an indie/rock band which formed in Newcastle Upon Tyne, England in 2004. The band originally consisted of Alan McDonald (vocals, guitar), Mark Nelson (guitar), Michael ""Frog"" Coburn (bass, vocals) and Chris McGreevy (drums). After McDonald's departure in 2007, Graham Thompson replaced him on guitar and Coburn took over lead vocals. The band split in July of 2008 with members forming a new band, Black Flashes shortly afterwards.

Signed <a href=""https://www.last.fm/music/Kubichek%21"">Read more on Last.fm</a>"
La Célula Durmiente,"<a href=""https://www.last.fm/music/+noredirect/La+C%C3%A9lula+Durmiente"">Read more on Last.fm</a>"
Lacuna Bloome,"<a href=""https://www.last.fm/music/Lacuna+Bloome"">Read more on Last.fm</a>"
Learn,"Learn is; Justin Vacca, William Laessig, Skylar Cowdry. They play experimental indie rock. They hail from KC, Kansas. Formed in 2009. <a href=""https://www.last.fm/music/Learn"">Read more on Last.fm</a>"
Little Rascals,"Jerseyshorehardcore <a href=""https://www.last.fm/music/Little+Rascals"">Read more on Last.fm</a>"
Love Is A Story,"Love Is a Story is a dynamic blend of electronica and pop rock that runs the spectrum from somber songs of loss to dancy tunes about first dates and falling in love. Hailing from Oklahoma City, singer/songwriter/producer Benji Kay took lessons learned from bands from Queen to Jack's Mannequin and brought them deep into the realm of the analog synth and the T-Pain effect with his debut LP The Science of Sound in 2009. A cut from that album, ""Take Control <a href=""https://www.last.fm/music/Love+Is+a+Story"">Read more on Last.fm</a>"
Lovebird,"<a href=""https://www.last.fm/music/Lovebird"">Read more on Last.fm</a>"
Low-Fi,"Low-Fi is an Indie/New wave/Electro/Rock band. 
 www.myspace.com/lowfiband & www.facebook.com/lowfiband & www.low-fi.net

""Low-fi"" entrenched in the crack opened between indie-rock and electro. The trio is melodically leaded by the twins Alessandro and Adriano, which avail themself of the post punk 80's side of Fabio. During the years they took part in several compilations and crossed Italy and East-Europe performing tons of shows in clubs and festivals. <a href=""https://www.last.fm/music/Low-Fi"">Read more on Last.fm</a>"
Marc Hellner,"Chicago based Marc Hellner, founding member of Pulseprogramming. <a href=""https://www.last.fm/music/Marc+Hellner"">Read more on Last.fm</a>"
Marion Crane,"“Hell is empty, all the devils are here,” – not just a quote from William Shakespeare, or the chorus hook from the song “House on the Hill”, but an attitude……… an outlook on a music scene that has been recycled and rehashed, redone and reborn, and infested with everything from emo to fame whores who can’t sing – as well as an outlook towards a society that’s as plastic as it is narcissistic.

Marion Crane doesn’t wish to change this. <a href=""https://www.last.fm/music/Marion+Crane"">Read more on Last.fm</a>"
Mellow Head,"<a href=""https://www.last.fm/music/Mellow+Head"">Read more on Last.fm</a>"
Murry The Hump,"Murry The Hump were formed in Aberystwyth in the late 1990s and were dubbed by Alex James of Blur as ""the best unsigned band in Britain"".

Members of the band have since continued to record music under the name The Keys, releasing a self titled 2003 album on Too Pure records. <a href=""https://www.last.fm/music/Murry+the+Hump"">Read more on Last.fm</a>"
Mutes,"Mutes is James Brown (not that James Brown), a one-man band from Birmingham, UK. <a href=""https://www.last.fm/music/Mutes"">Read more on Last.fm</a>"
My Teenage Stride,"My Teenage Stride is Jedediah Smith with Brett Whitmoyer, and a rotating cast of other musicians, such as Jenny Logan from Ribbons and Jeff Ciprioni from The Metric Mile. The group began in Brooklyn in 2004, essentially as a bedroom project for permanently wired songwriter and multi-instrumentalist Smith. As interest rose and an album was released, Smith slowly got together a proper band, though he is still the sole instrumentalist on the bulk of the band's recordings to date <a href=""https://www.last.fm/music/My+Teenage+Stride"">Read more on Last.fm</a>"
narcissus,"There are two bands called Narcissus.
1. Narcissus was an influential American hardcore band formed by John LaRussa and John Pope in 1998 in Cleveland, Ohio. Not counting John LaRussa and John Pope, who were in the band from start to finish, members included, at various times, Justin Carroll (bass), Ray Taylor (guitar), Derek Carter (percussion), Stephen Cushman (percussion) and Josh King (bass). The band was on the now-defunct label Takehold Records before joining Century Media. <a href=""https://www.last.fm/music/Narcissus"">Read more on Last.fm</a>"
New Luna,"<a href=""https://www.last.fm/music/New+Luna"">Read more on Last.fm</a>"
New Rebel Cult,"<a href=""https://www.last.fm/music/New+Rebel+Cult"">Read more on Last.fm</a>"
Our Krypton Son,"Our Krypton Son aka Christopher McConaghy from Derry, Northern Ireland, cut his teeth as guitarist for infamous, Mercury Records signings Red Organ Serpent Sound.  

Light years apart from the bombastic bedlam of ROSS, Our Krypton Son marries sublimely melodic indie music with svelte vocals reminiscent of Rufus Wainwright and Jeff Buckley.

Subtle and beautiful, Our Krypton Son has already picked up airplay from Radio 1 and critical acclaim for his captivating live shows. <a href=""https://www.last.fm/music/Our+Krypton+Son"">Read more on Last.fm</a>"
Palava,"Palavan jäsenet ovat kasvaneet Pohjanmaan alavilla mailla. Sittemmin helsinkiläistyneen kokoonpanon ytimeen kätkeytyy kuitenkin paljon yhdessä elettyä ja koettua – palava halu tehdä musiikkia. Markus Ala-Kauhaluoman (kitara) ja Osku Ketolan (laulu, viulu) yhteinen musiikillinen historia alkoi jo nuoruudessa ja on jatkunut tähän päivään saakka. Kun liekki kerran syttyy, se ei helposti sammu. Samasta palosta löysivät tiensä bändiin myös yhtyeen muut jäsenet: Ville Siuruainen (rummut) <a href=""https://www.last.fm/music/Palava"">Read more on Last.fm</a>"
Pangolin,"Pangolin may be:

1. Project of Peter Scion.

2. Band from East LA, whose sound ranges from  grunge to psychedelic ambiance, and has been described as Halloween rock or ""carnival-induced debauchery"". (More info at: pangolin.bandcamp.com and http://www.sonicbids.com/epk/epk.aspx?epk_id=290917).

3. Experimental group based in Oxford, UK, mixes elements from funk, jazz, soul and hip-hop (More info at: https://pangolinuk.bandcamp.com/). <a href=""https://www.last.fm/music/Pangolin"">Read more on Last.fm</a>"
Paper Buoys,"<a href=""https://www.last.fm/music/Paper+Buoys"">Read more on Last.fm</a>"
Power Animal,"Power Animal is Pajama Rock n Roll

http://poweranimal.tumblr.com/ <a href=""https://www.last.fm/music/Power+Animal"">Read more on Last.fm</a>"
PUKK,"<a href=""https://www.last.fm/music/PUKK"">Read more on Last.fm</a>"
Reagan,"<a href=""https://www.last.fm/music/Reagan"">Read more on Last.fm</a>"
Ride Your Bike,"Dr. Hunter Thompson once wrote something to this effect about Jack Kennedy: The people like Kennedy because they like the idea of having someone in charge who can smoke joints by the White House pool with a beautiful movie star, but still trust to make the tough decisions at midnight. Ride Your Bike is Jack Kennedy. After releasing our debut album ""Bad News From the Bar"" on Deep Elm Records, we are back with our new EP. As a band, we strive to impart performances that collectively amalgamate into the perfect wall of sound. <a href=""https://www.last.fm/music/Ride+Your+Bike"">Read more on Last.fm</a>"
Right On,"1.) Right On was a hardcore band based out of San Fransisco, California. They released records with Malfunction and Rumble records. They have a full energetic sound with a heavy justice influence. They decided to call it quits after releasing an anthology of all their recordings entitled ""Reality Vacation"".

2.) A Kansas City-based riff-based jangly indie pop band. Download the Demo here: http://rightonrightonrighton.tumblr.com <a href=""https://www.last.fm/music/Right+On"">Read more on Last.fm</a>"
Sad Girl,"this mystery band by the name of Sad Girl. It is the result of Karen and Tommy Swerdlow's   Tommy is better known for writing screen plays for Disney (Cool Runnings and Snow Dogs are to his name). So this is a very far departure for the couple. It is no longer all happiness and fluffy dogs, it is instead much more melancholic and eerie  With a total of six members, Sad Girl uses everything from keyboards to cello to the clarinet to paint this musical tapestry. <a href=""https://www.last.fm/music/Sad+Girl"">Read more on Last.fm</a>"
Salute The Sun,"<a href=""https://www.last.fm/music/Salute+the+Sun"">Read more on Last.fm</a>"
Samoans,"Samoans are a band from Cardiff, South Wales, although none of the members originate from the city itself. Since forming in 2008 the band have established themselves as one of the city's up and coming talents, creating a collection of intricate, yet melodic songs, drawing influence from bands such as Reuben, Maps &amp; Atlases and Secondsmile. 

They have worked relentlessly, gradually building up a dedicated following with their distinctive style of progressive math-rock. <a href=""https://www.last.fm/music/Samoans"">Read more on Last.fm</a>"
Sarah Hayes,"<a href=""https://www.last.fm/music/sarah+hayes"">Read more on Last.fm</a>"
Sinderins,"<a href=""https://www.last.fm/music/Sinderins"">Read more on Last.fm</a>"
Sixstarhotel,"Sixstarhotel, are an alternative rock band from Lisburn, Northern Ireland. They formed in 2001. The group have released three self-financed EP's Circus Music, Everyone's A Critic and These Rosewood Theories.

The band started out with founding members, David Clements and Neil Gillespie, playing together in the attic in Neil's house to the radio and making tape recordings of their efforts. Child-hood friends, it was merely a way of having fun together yet they soon discovered that this may be more than just a hobby. <a href=""https://www.last.fm/music/SixStarHotel"">Read more on Last.fm</a>"
Sleep Parade,"Sleep Parade are a band from Melbourne, Victoria that formed in 2004.

With the release of 'Things Can Always Change' Sleep Parade have evolved into a heavyweight contender on the Australian prog-rock scene. A Flawless, world-class album"". 
Nick Snelling Beat

Melbourne three-piece Sleep Parade's debut album Things Can Always Change was released in April 2008 through Shock Records.

The bands plans include spending the rest of this year and through till the end of summer touring the album and playing to crowds Australia wide. <a href=""https://www.last.fm/music/Sleep+Parade"">Read more on Last.fm</a>"
Society Red,"Band Members:

Damien Starkey - vocals (ex- Burn Season)
Paul Phillips - guitar (ex- Operator, Puddle Of Mudd)
Dizzi Devereux - guitar
Brad Stewart - bass (ex- Shinedown)
Brad Moxey - drums

www.myspace.com/societyredjax <a href=""https://www.last.fm/music/Society+Red"">Read more on Last.fm</a>"
Sonny Shotz,"Sonny Shotz is a recording artist from Boston, MA.  

Sonny Shotz, originally born in Côte d'Ivoire, Africa, is an up and coming rapper/singer/song writer and film director. His controversial topics on religion have gained many supporters and critics along the way. 

sonnyordie.com  <a href=""https://www.last.fm/music/Sonny+Shotz"">Read more on Last.fm</a>"
Sophie Sutton,"<a href=""https://www.last.fm/music/Sophie+Sutton"">Read more on Last.fm</a>"
Sportsday Megaphone,"Awesomely frantic ipod karaoke! ultrapop confetti headphone piñata!!!

http://www.myspace.com/sportsdaymegaphone <a href=""https://www.last.fm/music/Sportsday+Megaphone"">Read more on Last.fm</a>"
Strawberry Whiplash,"Strawberry Whiplash is an indie pop band hailing from Glasgow Scotland, with Sandra on vocals and Laz on instruments.  They specialise in instant, reverb-kissed, fuzzy guitar Pop.  

Their debut release was on The Matinee Hit Parade compilation CD in 2007. The duo’s three singles—‘Who’s In Your Dreams’ EP (2008); ‘Picture Perfect’ EP (2009); and ‘Stop, Look and Listen’ EP (2011)—have earned international admiration including strong reviews in Magnet <a href=""https://www.last.fm/music/Strawberry+Whiplash"">Read more on Last.fm</a>"
Taco Hell,"Taco Hell are a four-piece DIY punk band from Nottingham with indie and emo influences. For fans of The Menzingers, Joyce Manor and TWIABP, etc. Their first EP ""Breathe Deeply"" was recorded at JT Soar with Phil Booth and released in May, 2016. <a href=""https://www.last.fm/music/Taco+Hell"">Read more on Last.fm</a>"
Taffy,"There are two artists by the name Taffy:

(1) Taffy is best known for her 1985 Hi-NRG disco hit 'I Love My Radio'. Other successes are 'Walk into the daylight' (1984) and 'Once more' (1985). Although Taffy was born in New York (in 1963 as Katherine Quaye) her hits are considered Italo Disco because they were produced and recorded in Italy. On the record labels Taffy is refered to as K. Quaye or just Quaye.

(2) A pop inspired shoegaze band from Tokyo and signed to Club AC30. <a href=""https://www.last.fm/music/Taffy"">Read more on Last.fm</a>"
Taylor Thrash,"TAYLOR THRASH is a solo pop artist from Dallas, TX. His debut EP ""Taylor Thrash"" is now available on iTunes. Taylor has shared the stage with Forever The Sickest Kids, Shwayze, The Scene Aesthetic, The Secret Handshake, Set Your Goals, I See Stars, This Providence, and many more.  <a href=""https://www.last.fm/music/Taylor+Thrash"">Read more on Last.fm</a>"
The Claremonts,"<a href=""https://www.last.fm/music/The+Claremonts"">Read more on Last.fm</a>"
The Empty Page,"<a href=""https://www.last.fm/music/The+Empty+Page"">Read more on Last.fm</a>"
the Flying Tourbillon Orchestra,"""Sounding like a particularly west coast version of scottish popsters belle and sebastian and camera obscura, the flying tourbillon orchestra takes those band's breathy pop and adds a little weight to it. maintaining the scots' prediliction for orchestral touches (listen to the pizzicato-plucked strings on the aptly titled ""strings"" which also features a lovely joe meek-ish organ accent) and adding the occasional cinematic touch (the dramatic marching tempo and the haunting female hooting that pops up occasionally on ""in a dream"") <a href=""https://www.last.fm/music/The+Flying+Tourbillon+Orchestra"">Read more on Last.fm</a>"
The Fugues,"<a href=""https://www.last.fm/music/The+Fugues"">Read more on Last.fm</a>"
The Goldwyn Experiment,"<a href=""https://www.last.fm/music/The+Goldwyn+Experiment"">Read more on Last.fm</a>"
The Immediate,"Since its inception, The Immediate has developed from a scratchy, muffled, ill-conceived piece of work into something articulate and special. Maintaining a disregard of traditional group roles and an affection for instrument-swapping stage theatrics (each symptomatic of the other), the group has come to act as an emotionally instinctive counterbalance to its individual members restrictively modern self-consciousness and reflexivity. Indeed, the band exists only within the screaming and dancing of the unrepeatable moment <a href=""https://www.last.fm/music/The+Immediate"">Read more on Last.fm</a>"
The Maitlands,"<a href=""https://www.last.fm/music/The+Maitlands"">Read more on Last.fm</a>"
The Missing Piece,"<a href=""https://www.last.fm/music/The+Missing+Piece"">Read more on Last.fm</a>"
The Superbees,"The Superbees is a rock band founded in Los Angeles in 1998 by vocalist/guitarist Dave James (The Coma-Tones, The Sacred Hearts and The Joneses), with bassist Dat Ngo, guitarist Scott Carlson (Repulsion, Cathedral and Hushdrops) and drummer Johnny Sleeper (The Stitches).
In August of 2000, the Superbees released a self-titled EP. Their debut full-length, ""High Volume"" was released on Acetate Records in September of 2002. The ""Top of the Rocks"" EP followed in 2010. 

 <a href=""https://www.last.fm/music/The+Superbees"">Read more on Last.fm</a>"
The Vows,"There are at least two groups named The Vows:

1. The Vows were a mid-1960s sould/R&B group that recorded a few cuts for Motown. Nót a stage name for erstwhile Motown mover and shaker Richard “Popcorn” Wylie, as is often reported, The Vows were in fact a rather obscure raucous West Coast R&B group who provided backing vocals on a few early sides for Motown subsidiary VIP Records before getting a one-off single deal of their own. Best known track is probably 'Show Girl'.  <a href=""https://www.last.fm/music/The+Vows"">Read more on Last.fm</a>"
The Whiles,"Hailing from the heart of the Midwest, The Whiles (formerly known as Mrs. Children) have recorded a stunning debut, especially for a 5-member band barely past legal age. 

Self produced with some engineering duties by Jon Chinn (New Bomb Turks), ""Colors of the Year"" is a great leap forward from their self-released EP ""Break My Back,"" which garnered the band mention on Rolling Stone magazine's issue on ""Ten Most Rocking College Towns."" Their demo at <a href=""https://www.last.fm/music/The+Whiles"">Read more on Last.fm</a>"
The Yellow Bellies,"<a href=""https://www.last.fm/music/The+Yellow+Bellies"">Read more on Last.fm</a>"
Tundra,"There are at least 13 bands using the name Tundra. 

1) Tundra (as Morgan Packard) from Canada, drum'n'bass.
2) Tundra from Canada. Hardcore/Gabber/ Breakcore.
3) Tundra from Italy. Black metal. FKA Afterglow.
4) Tundra from UK. English Folk band from 1970-80's
5) Tundra from Canada. Progressive House, Leftfield, Techno, Ambient.
6) Tundra from Denmark AKA Sure Miner. Danish Pop/western/country/folk. 
7) Tundra from Brighton in UK. Post-rock. AKA Tom de Grunwald  <a href=""https://www.last.fm/music/Tundra"">Read more on Last.fm</a>"
Unicornibot,"Unicornibot was formed in 2008 as an experiment in Pontevedra where to unleash the imagination by four insane. From the psychedelic and progressive rock to rock Classic through the math rock and harcore, the Unicornibot offer direct runaway has now been captured in their first LP, Hare Krishna, a compendium of nine devastating rigorous live songs recorded in Brazil by Javier Ortiz Studios and mastered by Bob Weston (Shellac) at Chicago Mastering Service. The album was self-released only on vinyl 12 ""and as a direct download for free. <a href=""https://www.last.fm/music/Unicornibot"">Read more on Last.fm</a>"
Voodoo and the Crypts,"<a href=""https://www.last.fm/music/Voodoo+And+The+Crypts"">Read more on Last.fm</a>"
Wasted Potential,"London Ontario
Gluten Free Crust Punk
Old Guys Playing New Old Hardcore. Get Wasted!

www.facebook.com/WastedPotential
www.wastedpotential.bandcamp.com <a href=""https://www.last.fm/music/Wasted+Potential"">Read more on Last.fm</a>"
We Are Catchers,"There’s over five thousand miles between Liverpool and Los Angeles. One vast expanse of ocean and no direct flights. Land wise, there’s Ireland, Newfoundland and then a continent’s worth of cities, towns, lakes, rivers and rocks. A chaos of wi-fi connections and errant mobile signals; weather systems and colloquial differences. On one side, Big Sur. The Pacific Coast Highway. On the other, Crosby Beach. The M62. The similarities aren’t immediately obvious. Yet… <a href=""https://www.last.fm/music/We+Are+Catchers"">Read more on Last.fm</a>"
we had to leave.,"<a href=""https://www.last.fm/music/We+had+to+leave."">Read more on Last.fm</a>"
White Light Riot,"White Light Riot consists of Minneapolis natives, brothers Mike and Mark Schwandt, Joe Christenson and Dan Larsen.  These incredibly talented musicians craft catchy songs that appeal to fans of both indie rock and Britpop.  Though often compared to The Killers, The Strokes or Franz Ferdinand, White Light Riot blend originality with influences of the past.  The foursome have been playing together since 2005 and already have released two Eps, The Dark Is Light Enough <a href=""https://www.last.fm/music/White+Light+Riot"">Read more on Last.fm</a>"
Willoughby,"“Willoughby offers up a blend of neo-folk, vagabond-pop with echoes of the Beatles and whispers of Wilco.” Yahoo! Music

Willoughby’s debut album I Know What You’re Up To is the product of Gus Seyffert, who performed and produced all the tracks on the album, with a few friends stopping by to help along the way. 

Flavorpill provided this apt description: “Willoughby is a quiet band — but ""quiet"" as in the old saw about watching out for the quiet ones. <a href=""https://www.last.fm/music/Willoughby"">Read more on Last.fm</a>"
Young Earth,"<a href=""https://www.last.fm/music/Young+Earth"">Read more on Last.fm</a>"
Young Hearts,"Members of Dear Tonight and Saturday Supercade.
 <a href=""https://www.last.fm/music/Young+Hearts"">Read more on Last.fm</a>"
Young Monarch,"<a href=""https://www.last.fm/music/Young+Monarch"">Read more on Last.fm</a>"
